Variable,u,,v,,w,,urms,,vrms,,wrms,,TKE,,
,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,
Case,,,,,,,,,,,,,,,
Case 1: No Approach,0.2009,0.2726,0.0202,0.0267,0.0979,0.1212,0.0759,0.0996,0.0585,0.0675,0.0539,0.0619,0.0268,0.0320,
Case 2: 8m roughness,0.0751,0.1518,0.0171,0.0232,0.0585,0.0705,0.0438,0.0575,0.0433,0.0485,0.0394,0.0450,0.0220,0.0254,
Case 3: 16m roughness,0.0600,0.1286,0.0133,0.0184,0.0548,0.0650,0.0243,0.0304,0.0354,0.0407,0.0289,0.0341,0.0172,0.0208,
Case 4: 20m roughness,0.0690,0.1266,0.0271,0.0321,0.0461,0.0538,0.0232,0.0296,0.0218,0.0259,0.0261,0.0307,0.0123,0.0150,
Case 5: 24m roughness,0.0698,0.1194,0.0248,0.0304,0.0354,0.0429,0.0289,0.0366,0.0466,0.0518,0.0408,0.0471,0.0236,0.0286,
Case 6: 32m roughness,0.0527,0.0925,0.0290,0.0338,0.0419,0.0501,0.0447,0.0537,0.0470,0.0537,0.0463,0.0524,0.0294,0.0348,
Case 7: 16m roughness - 0.1 z0,0.0843,0.1398,0.0247,0.0317,0.0387,0.0459,0.0304,0.0401,0.0215,0.0251,0.0310,0.0366,0.0135,0.0161,
Case 8: 20m roughness - 0.1 z0,0.0714,0.1238,0.0145,0.0184,0.0364,0.0415,0.0241,0.0291,0.0256,0.0328,0.0269,0.0377,0.0149,0.0206,
